tier,time_len,col,lan_type,model_name,match_id,training_time
PLATINUM,30,4col,Exponential,RF,KR_6720721077,0.0155903000268153
CHALLENGER,15,4col,Exponential,RF,KR_6720369775,0.0155874000047333
CHALLENGER,5,4col,Exponential,RF,KR_6719076193,0.0155793000012636
PLATINUM,15,4col,Exponential,RF,KR_6628974366,0.015578499995172
CHALLENGER,10,4col,Exponential,RF,KR_6719124350,0.0155737999593839
CHALLENGER,15,4col,Exponential,RF,KR_6720411617,0.0155445000273175
PLATINUM,20,4col,Exponential,RF,KR_6628974366,0.0155420000082813
PLATINUM,15,4col,Exponential,RF,KR_6658164740,0.0155385000398382
DIAMOND,5,4col,Exponential,RF,KR_6703469268,0.0155371999717317
MASTER,20,4col,Exponential,RF,KR_6721279552,0.0155312999850139
MASTER,15,4col,Exponential,RF,KR_6702568067,0.015523399983067
SILVER,30,4col,Exponential,RF,KR_6708495790,0.0155231999815441
PLATINUM,15,4col,Exponential,RF,KR_6720721077,0.0155214999685995
EMERALD,5,4col,Exponential,XGB,KR_6688779490,0.0155154000385664
PLATINUM,30,4col,Exponential,RF,KR_6658164740,0.0155064999707974
PLATINUM,30,4col,Exponential,RF,KR_6720945585,0.0154667999595403
PLATINUM,20,4col,Exponential,RF,KR_6720721077,0.0154661999549716
CHALLENGER,20,4col,Exponential,RF,KR_6720369775,0.0154576000059023
EMERALD,10,4col,Exponential,RF,KR_6720468016,0.0154562999960035
SILVER,15,4col,Exponential,RF,KR_6711575562,0.0154398999875411
BRONZE,25,4col,Exponential,RF,KR_6722673207,0.0154386000358499
SILVER,10,4col,Exponential,RF,KR_6711575562,0.0154339000000618
MASTER,30,4col,Exponential,RF,KR_6711732043,0.0154252999927848
SILVER,15,4col,Exponential,RF,KR_6708495790,0.0154189000022597
CHALLENGER,30,4col,Exponential,RF,KR_6719124350,0.0154181999969296
DIAMOND,10,4col,Exponential,RF,KR_6703469268,0.0154149999725632
SILVER,30,4col,Exponential,RF,KR_6722876813,0.0154135000193491
EMERALD,30,4col,Exponential,RF,KR_6720673430,0.0154093999881297
DIAMOND,30,4col,Exponential,RF,KR_6703469268,0.0154035999439656
SILVER,25,4col,Exponential,RF,KR_6708495790,0.0154028999968431
MASTER,25,4col,Exponential,RF,KR_6711732043,0.015394699992612
CHALLENGER,30,4col,Exponential,RF,KR_6720369775,0.0153745000134222
CHALLENGER,25,4col,Exponential,RF,KR_6720275332,0.0153711999882943
GOLD,5,4col,Mixed,RF,KR_6706170670,0.0153621999779716
SILVER,10,4col,Exponential,RF,KR_6722876813,0.0153563999920152
CHALLENGER,25,4col,Exponential,RF,KR_6719124350,0.0153550999821163
CHALLENGER,15,4col,Exponential,RF,KR_6718952462,0.0153521000174805
CHALLENGER,20,4col,Exponential,RF,KR_6720411617,0.0153423000010661
BRONZE,25,4col,Exponential,RF,KR_6697602921,0.0153351000044494
SILVER,10,4col,Exponential,RF,KR_6708495790,0.0153315999777987
CHALLENGER,10,4col,Exponential,RF,KR_6718989642,0.0153296999633312
SILVER,15,4col,Exponential,RF,KR_6709199827,0.0153257000492885
DIAMOND,20,4col,Exponential,RF,KR_6703469268,0.0153176000458188
CHALLENGER,5,4col,Mixed,RF,KR_6720216348,0.015314300020691
PLATINUM,20,4col,Exponential,RF,KR_6629083317,0.0152968000038526
MASTER,15,4col,Exponential,RF,KR_6711732043,0.0152828999562188
SILVER,15,4col,Exponential,RF,KR_6722876813,0.015279899991583
CHALLENGER,20,4col,Exponential,RF,KR_6719076193,0.0152614999678917
CHALLENGER,5,4col,Exponential,RF,KR_6720275332,0.0152579999994486
BRONZE,10,4col,Mixed,RF,KR_6698859172,0.0152528000180609
PLATINUM,30,4col,Exponential,RF,KR_6629083317,0.0152525000157766
PLATINUM,15,4col,Exponential,RF,KR_6629083317,0.0152500999975018
SILVER,25,4col,Exponential,RF,KR_6711575562,0.0152462999685667
DIAMOND,10,4col,Exponential,RF,KR_6719888945,0.0152461999678052
BRONZE,10,4col,Mixed,RF,KR_6722673207,0.0152156000258401
BRONZE,30,4col,Exponential,RF,KR_6714586906,0.0151997999637387
CHALLENGER,10,4col,Exponential,RF,KR_6719076193,0.0151980999507941
DIAMOND,20,4col,Exponential,RF,KR_6697727419,0.01519659999758
CHALLENGER,15,4col,Exponential,RF,KR_6719076193,0.0151897000032477
BRONZE,25,4col,Exponential,RF,KR_6693211202,0.0151875999872572
PLATINUM,30,4col,Exponential,RF,KR_6720481811,0.0151869999826885
MASTER,30,4col,Exponential,RF,KR_6708466200,0.0151852000271901
GOLD,30,4col,Exponential,RF,KR_6710644400,0.0151696000248193
CHALLENGER,25,4col,Exponential,RF,KR_6718989642,0.01516619999893
IRON,5,4col,Mixed,RF,KR_6617405224,0.0151651999913156
BRONZE,30,4col,Exponential,RF,KR_6693211202,0.0151647999882698
SILVER,25,4col,Exponential,RF,KR_6718791445,0.015159800008405
DIAMOND,10,4col,Exponential,RF,KR_6697727419,0.0151595000061206
GOLD,30,4col,Exponential,RF,KR_6653234423,0.0151589000015519
CHALLENGER,10,4col,Exponential,RF,KR_6720275332,0.0151485999813303
MASTER,25,4col,Exponential,RF,KR_6702568067,0.0151417999877594
CHALLENGER,30,4col,Exponential,RF,KR_6719076193,0.0151412999839521
